ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
709323,2017-09-07,2017-09-07,916,104012,35-39,M,15,17,19,7132,2,2.61,1,0
709326,2017-09-08,2017-09-08,916,104013,35-39,M,16,22,22,12190,2,3.05,1,0
709327,2017-09-09,2017-09-09,916,104013,35-39,M,16,22,20,12193,2,3.06,1,1
709328,2017-09-10,2017-09-10,916,104013,35-39,M,16,19,18,3332,0,0,1,1
709455,2017-09-11,2017-09-11,916,104034,35-39,M,7,12,10,559,0,0,1,0
709544,2017-09-12,2017-09-12,916,104049,35-39,M,29,33,32,7440,2,2.98,1,1
709614,2017-09-13,2017-09-13,916,104061,40-44,M,16,19,20,19113,4,5.52,1,0
709756,2017-09-14,2017-09-14,916,104085,40-44,M,16,21,21,10976,2,1.69,1,1
709761,2017-09-15,2017-09-15,916,104085,40-44,M,16,19,20,2861,0,0,1,0
709899,2017-09-16,2017-09-16,916,104108,40-44,M,15,18,20,1398,0,0,1,1
709901,2017-09-17,2017-09-17,916,104109,40-44,M,16,18,20,23817,7,8.47,1,1
710045,2017-09-18,2017-09-18,916,104133,45-49,M,16,22,17,47224,12,15.82,1,0
710088,2017-09-19,2017-09-19,916,104140,45-49,M,24,26,27,2283,1,1.47,1,0
710360,2017-09-20,2017-09-20,916,104185,45-49,M,21,26,24,2182,1,1.53,1,1
710477,2017-09-21,2017-09-21,916,104205,30-34,F,16,19,19,2654,0,0,1,1
710480,2017-09-22,2017-09-22,916,104205,30-34,F,16,21,20,57665,14,18.07,1,1
710571,2017-09-23,2017-09-23,916,104220,30-34,F,32,37,38,3091,1,1.61,1,1
710617,2017-09-24,2017-09-24,916,104228,30-34,F,15,19,16,5014,1,1.19,1,0
710623,2017-09-25,2017-09-25,916,104229,30-34,F,16,19,20,38726,7,9.22,1,0
710628,2017-09-26,2017-09-26,916,104230,30-34,F,18,24,22,1473,0,0,1,0
710682,2017-09-27,2017-09-27,916,104239,30-34,F,27,33,32,1186,0,0,1,0
710763,2017-09-28,2017-09-28,916,104252,30-34,F,15,19,17,5369,1,1.51,1,0
710836,2017-09-29,2017-09-29,916,104265,30-34,F,29,33,31,22221,7,9.43,1,1
710867,2017-09-30,2017-09-30,916,104270,30-34,F,63,64,68,1185,0,0,1,0
710880,2017-10-01,2017-10-01,916,104272,30-34,F,65,70,68,13019,5,6.96,1,0
710961,2017-10-02,2017-10-02,916,104285,35-39,F,25,29,26,2508,1,1.22,1,0
710968,2017-10-03,2017-10-03,916,104287,35-39,F,27,31,29,5864,2,2.8,1,1
711217,2017-10-04,2017-10-04,916,104328,35-39,F,20,26,23,2783,1,1.6,1,0
711623,2017-10-05,2017-10-05,916,104396,40-44,F,15,18,20,3812,1,1.13,2,1
711764,2017-10-06,2017-10-06,916,104419,45-49,F,10,16,11,11199,4,5.73,1,1
711785,2017-10-07,2017-10-07,916,104423,45-49,F,19,25,23,292,0,0,1,0
711877,2017-10-08,2017-10-08,916,104438,45-49,F,63,67,65,17572,7,9.38,1,0
712052,2017-10-09,2017-10-09,916,104467,45-49,F,10,13,11,1448,0,0,1,1
734209,2017-10-10,2017-10-10,936,108654,30-34,M,10,16,14,1772,0,0,1,1
734210,2017-10-11,2017-10-11,936,108654,30-34,M,10,16,13,13329,4,5.63,1,1
734215,2017-10-12,2017-10-12,936,108655,30-34,M,15,19,17,13659,3,3.84,1,0
734243,2017-10-13,2017-10-13,936,108660,30-34,M,21,23,24,739,0,0,1,1
734266,2017-10-14,2017-10-14,936,108664,30-34,M,25,30,27,605,0,0,1,0
734272,2017-10-15,2017-10-15,936,108665,30-34,M,26,32,29,1030,0,0,1,0
734290,2017-10-16,2017-10-16,936,108668,30-34,M,29,32,35,5374,1,1.04,4,0
734313,2017-10-17,2017-10-17,936,108672,30-34,M,36,38,38,790,0,0,1,1
734314,2017-10-18,2017-10-18,936,108672,30-34,M,36,38,38,962,0,0,1,0
734352,2017-10-19,2017-10-19,936,108678,35-39,M,10,11,16,4423,1,1.46,1,1
734361,2017-10-20,2017-10-20,936,108680,35-39,M,16,19,19,12382,2,2.84,1,1
734381,2017-10-21,2017-10-21,936,108683,35-39,M,20,25,24,2938,1,1.35,1,1
734399,2017-10-22,2017-10-22,936,108686,35-39,M,23,24,27,239,0,0,1,0
734418,2017-10-23,2017-10-23,936,108689,35-39,M,26,27,28,591,0,0,1,0
734421,2017-10-24,2017-10-24,936,108690,35-39,M,27,29,32,10332,4,5.75,1,0
734427,2017-10-25,2017-10-25,936,108691,35-39,M,28,29,31,8259,3,3.98,1,0
734433,2017-10-26,2017-10-26,936,108692,35-39,M,29,35,31,12158,3,4.45,1,0
734582,2017-10-27,2017-10-27,936,108716,40-44,M,29,33,33,7709,2,1.32,2,0
734605,2017-10-28,2017-10-28,936,108720,40-44,M,36,37,41,834,0,0,1,0
734660,2017-10-29,2017-10-29,936,108729,45-49,M,18,22,23,1299,0,0,2,0
734666,2017-10-30,2017-10-30,936,108730,45-49,M,19,24,20,371,0,0,1,0
734726,2017-10-31,2017-10-31,936,108740,45-49,M,29,30,35,10466,3,4.09,1,0
734737,2017-11-01,2017-11-01,936,108742,45-49,M,31,37,33,839,0,0,1,0
734785,2017-11-02,2017-11-02,936,108750,30-34,F,10,13,13,5576,1,1.53,1,1
734794,2017-11-03,2017-11-03,936,108752,30-34,F,16,19,17,4010,0,0,1,0
734796,2017-11-04,2017-11-04,936,108752,30-34,F,16,22,17,39337,7,10.03,1,1
734800,2017-11-05,2017-11-05,936,108753,30-34,F,18,20,20,1635,0,0,1,0
734803,2017-11-06,2017-11-06,936,108753,30-34,F,18,19,21,1631,0,0,1,0
734852,2017-11-07,2017-11-07,936,108761,30-34,F,26,30,29,13479,3,4.25,1,0
734854,2017-11-08,2017-11-08,936,108762,30-34,F,27,33,32,57022,13,20.29,3,3
734856,2017-11-09,2017-11-09,936,108762,30-34,F,27,28,32,5453,1,1.39,1,1
734866,2017-11-10,2017-11-10,936,108764,30-34,F,29,32,31,11803,3,4.44,1,0
734881,2017-11-11,2017-11-11,936,108766,30-34,F,31,32,34,4259,1,1.57,1,1
734901,2017-11-12,2017-11-12,936,108770,30-34,F,64,70,68,1554,0,0,1,0
734903,2017-11-13,2017-11-13,936,108770,30-34,F,64,69,67,5323,1,1.29,1,1
734925,2017-11-14,2017-11-14,936,108774,35-39,F,10,11,12,5024,1,1.41,1,1
734939,2017-11-15,2017-11-15,936,108776,35-39,F,16,19,22,104648,24,33.33,4,2
734968,2017-11-16,2017-11-16,936,108781,35-39,F,22,25,27,8504,3,3.34,1,1
734999,2017-11-17,2017-11-17,936,108786,35-39,F,27,32,32,20277,6,8.05,1,0
735014,2017-11-18,2017-11-18,936,108788,35-39,F,29,34,30,12403,4,5.21,1,1
735032,2017-11-19,2017-11-19,936,108791,35-39,F,32,33,34,498,0,0,1,1
735033,2017-11-20,2017-11-20,936,108792,35-39,F,36,40,40,652,0,0,0,0
735043,2017-11-21,2017-11-21,936,108793,35-39,F,63,65,69,1357,0,0,1,1
735048,2017-11-22,2017-11-22,936,108794,35-39,F,64,65,68,1393,0,0,1,0
735065,2017-11-23,2017-11-23,936,108797,40-44,F,7,10,12,648,0,0,1,0
735109,2017-11-24,2017-11-24,936,108804,40-44,F,21,26,25,708,0,0,1,1
735140,2017-11-25,2017-11-25,936,108809,40-44,F,26,27,31,6907,2,2.35,1,0
735143,2017-11-26,2017-11-26,936,108810,40-44,F,27,28,30,39035,13,19.33,1,0
735151,2017-11-27,2017-11-27,936,108811,40-44,F,28,30,31,926,0,0,1,0
735184,2017-11-28,2017-11-28,936,108817,40-44,F,63,66,67,4412,1,1.45,1,0
735189,2017-11-29,2017-11-29,936,108818,40-44,F,64,65,66,9965,3,4.05,1,0
735213,2017-11-30,2017-11-30,936,108822,45-49,F,10,16,11,73634,23,32.98,1,0
735220,2017-12-01,2017-12-01,936,108823,45-49,F,15,17,17,69708,20,31.29,1,0
735242,2017-12-02,2017-12-02,936,108826,45-49,F,19,25,21,530,0,0,1,0
735247,2017-12-03,2017-12-03,936,108827,45-49,F,20,24,25,14257,6,8.79,1,0
735289,2017-12-04,2017-12-04,936,108834,45-49,F,27,30,30,20362,5,9.12,1,1
735290,2017-12-05,2017-12-05,936,108834,45-49,F,27,29,33,12215,4,6.26,1,0
735298,2017-12-06,2017-12-06,936,108836,45-49,F,29,31,32,85412,28,38.64,2,1
736869,2017-12-07,2017-12-07,936,109448,30-34,M,2,6,8,2338,1,0.24,1,0
736890,2017-12-08,2017-12-08,936,109451,30-34,M,15,16,20,2522,0,0,1,0
736893,2017-12-09,2017-12-09,936,109452,30-34,M,16,17,17,3587,0,0,1,0
736977,2017-12-10,2017-12-10,936,109470,30-34,M,27,30,28,1273,0,0,1,0
736988,2017-12-11,2017-12-11,936,109472,30-34,M,28,29,29,3891,1,1.09,1,0
736995,2017-12-12,2017-12-12,936,109473,30-34,M,29,34,34,1888,0,0,1,0
736997,2017-12-13,2017-12-13,936,109473,30-34,M,29,32,33,1895,0,0,1,0
737097,2017-12-14,2017-12-14,936,109498,35-39,M,7,10,11,715,0,0,1,0
737130,2017-12-15,2017-12-15,936,109507,35-39,M,16,19,18,11199,2,2.68,1,0
737320,2017-12-16,2017-12-16,936,109553,35-39,M,63,64,66,5676,2,3.01,1,0
737375,2017-12-17,2017-12-17,936,109565,40-44,M,10,11,11,1415,0,0,1,0
737524,2017-12-18,2017-12-18,936,109601,40-44,M,30,34,33,2148,1,1.58,1,1
737644,2017-12-19,2017-12-19,936,109629,45-49,M,16,22,17,45401,10,14.06,1,0
737657,2017-12-20,2017-12-20,936,109633,45-49,M,18,23,20,7478,2,2.9,1,1
737658,2017-12-21,2017-12-21,936,109633,45-49,M,18,19,24,4919,1,1.59,1,0
737674,2017-12-22,2017-12-22,936,109637,45-49,M,20,21,24,533,0,0,1,1
737766,2017-12-23,2017-12-23,936,109659,45-49,M,29,33,33,1447,0,0,1,1
737896,2017-12-24,2017-12-24,936,109689,30-34,F,16,21,22,17553,3,4.59,1,0
737931,2017-12-25,2017-12-25,936,109698,30-34,F,20,26,24,3343,1,0.54,1,0
737961,2017-12-26,2017-12-26,936,109706,30-34,F,23,29,28,523,0,0,1,0
737995,2017-12-27,2017-12-27,936,109714,30-34,F,26,27,31,1873,0,0,1,0
738006,2017-12-28,2017-12-28,936,109717,30-34,F,27,29,32,34740,7,13.41,1,1
738067,2017-12-29,2017-12-29,936,109731,30-34,F,32,37,36,658,0,0,1,0
738098,2017-12-30,2017-12-30,936,109738,30-34,F,64,70,68,1539,0,0,1,0
738307,2017-12-31,2017-12-31,936,109788,35-39,F,31,36,36,3010,1,0.86,1,1
738389,2018-01-01,2018-01-01,936,109808,40-44,F,10,16,12,27081,9,10.77,1,1
738408,2018-01-02,2018-01-02,936,109813,40-44,F,16,22,22,20233,4,5.59,3,0
738413,2018-01-03,2018-01-03,936,109813,40-44,F,16,17,19,147159,36,58.16,3,1
738423,2018-01-04,2018-01-04,936,109816,40-44,F,18,20,24,21664,7,10.62,1,1
738436,2018-01-05,2018-01-05,936,109820,40-44,F,19,21,20,9112,4,5.46,1,1
738463,2018-01-06,2018-01-06,936,109826,40-44,F,21,23,24,542,0,0,1,0
738528,2018-01-07,2018-01-07,936,109839,40-44,F,30,34,33,402,0,0,1,1
738560,2018-01-08,2018-01-08,936,109844,40-44,F,64,70,66,1338,0,0,1,0
738582,2018-01-09,2018-01-09,936,109848,45-49,F,10,16,12,46150,15,20.18,1,1
738592,2018-01-10,2018-01-10,936,109850,45-49,F,16,22,20,493821,116,176.38,4,1
738593,2018-01-11,2018-01-11,936,109850,45-49,F,16,17,21,92011,27,34.39,2,1
738598,2018-01-12,2018-01-12,936,109851,45-49,F,18,23,24,12956,4,5.49,1,1
738606,2018-01-13,2018-01-13,936,109852,45-49,F,19,20,23,529,0,0,1,0
738637,2018-01-14,2018-01-14,936,109857,45-49,F,24,26,30,944,1,1.42,1,0
738648,2018-01-15,2018-01-15,936,109859,45-49,F,26,30,27,111090,38,51.97,5,1
747212,2018-01-16,2018-01-16,936,110836,30-34,M,10,16,14,7208,2,3.19,1,0
747213,2018-01-17,2018-01-17,936,110836,30-34,M,10,12,11,1746,0,0,1,0
747220,2018-01-18,2018-01-18,936,110837,30-34,M,15,17,16,2474,0,0,2,2
747222,2018-01-19,2018-01-19,936,110838,30-34,M,16,22,20,12489,2,1.96,1,0
747223,2018-01-20,2018-01-20,936,110838,30-34,M,16,18,18,8032,1,0.6,2,0
747248,2018-01-21,2018-01-21,936,110842,30-34,M,21,24,24,472,0,0,1,1
747332,2018-01-22,2018-01-22,936,110856,30-34,M,64,68,65,792,0,0,1,1
747362,2018-01-23,2018-01-23,936,110861,35-39,M,15,16,18,4607,1,1.15,1,1
747369,2018-01-24,2018-01-24,936,110862,35-39,M,16,17,21,13355,2,3.18,1,1
747370,2018-01-25,2018-01-25,936,110862,35-39,M,16,17,19,2936,0,0,1,0
747401,2018-01-26,2018-01-26,936,110867,35-39,M,22,25,25,2793,1,0.98,1,1
747435,2018-01-27,2018-01-27,936,110873,35-39,M,28,29,30,1032,0,0,1,0
747439,2018-01-28,2018-01-28,936,110874,35-39,M,29,35,33,1662,0,0,1,1
747489,2018-01-29,2018-01-29,936,110882,40-44,M,2,7,6,4016,2,1.48,1,1
747514,2018-01-30,2018-01-30,936,110886,40-44,M,16,20,17,14843,3,2.94,1,1
747645,2018-01-31,2018-01-31,936,110908,45-49,M,10,14,13,9674,3,4.6,1,1
747659,2018-02-01,2018-02-01,936,110910,45-49,M,16,21,17,12186,2,2.67,1,0
747675,2018-02-02,2018-02-02,936,110913,45-49,M,20,22,21,673,0,0,1,0
747678,2018-02-03,2018-02-03,936,110914,45-49,M,21,27,23,370,0,0,1,1
747712,2018-02-04,2018-02-04,936,110919,45-49,M,26,30,29,450,0,0,1,1
747790,2018-02-05,2018-02-05,936,110932,30-34,F,10,12,14,2077,0,0,1,1
747791,2018-02-06,2018-02-06,936,110932,30-34,F,10,14,13,31393,8,10.96,1,1
747795,2018-02-07,2018-02-07,936,110933,30-34,F,15,21,18,8410,2,2.36,1,1
747798,2018-02-08,2018-02-08,936,110934,30-34,F,16,21,20,25884,5,7.35,1,0
747824,2018-02-09,2018-02-09,936,110938,30-34,F,21,24,23,608,0,0,1,1
747828,2018-02-10,2018-02-10,936,110939,30-34,F,22,24,24,28488,10,9.34,1,0
747852,2018-02-11,2018-02-11,936,110943,30-34,F,26,32,32,10126,3,4.62,1,0
747859,2018-02-12,2018-02-12,936,110944,30-34,F,27,32,33,22572,5,8.5,1,0
747863,2018-02-13,2018-02-13,936,110944,30-34,F,27,30,33,1955,0,0,1,1
747879,2018-02-14,2018-02-14,936,110947,30-34,F,30,36,31,493,0,0,1,0
747903,2018-02-15,2018-02-15,936,110951,30-34,F,63,69,69,1491,0,0,1,1
747911,2018-02-16,2018-02-16,936,110952,30-34,F,64,66,66,1495,0,0,1,1
747968,2018-02-17,2018-02-17,936,110962,35-39,F,21,27,24,512,0,0,0,0
747991,2018-02-18,2018-02-18,936,110966,35-39,F,25,31,27,4868,2,2.42,1,0
748000,2018-02-19,2018-02-19,936,110967,35-39,F,26,27,32,6585,2,2.95,1,0
748007,2018-02-20,2018-02-20,936,110968,35-39,F,27,29,28,10164,2,3.72,1,1
748014,2018-02-21,2018-02-21,936,110970,35-39,F,29,31,35,11182,4,4.45,1,0
748045,2018-02-22,2018-02-22,936,110975,35-39,F,63,69,64,1238,0,0,1,0
748086,2018-02-23,2018-02-23,936,110982,40-44,F,16,19,18,34127,8,13.07,1,0
748087,2018-02-24,2018-02-24,936,110982,40-44,F,16,22,19,29466,7,10.85,2,0
748089,2018-02-25,2018-02-25,936,110982,40-44,F,16,18,21,38759,9,10.85,1,0
748091,2018-02-26,2018-02-26,936,110982,40-44,F,16,17,19,41720,10,12.06,1,1
748225,2018-02-27,2018-02-27,936,111005,45-49,F,15,16,17,18602,5,8.86,1,0
748230,2018-02-28,2018-02-28,936,111006,45-49,F,16,17,20,83929,21,27.73,4,1
748231,2018-03-01,2018-03-01,936,111006,45-49,F,16,18,21,25194,6,7.35,1,0
748233,2018-03-02,2018-03-02,936,111006,45-49,F,16,22,18,78627,19,26.53,1,0
748235,2018-03-03,2018-03-03,936,111006,45-49,F,16,18,19,102695,25,39.43,3,0
748294,2018-03-04,2018-03-04,936,111016,45-49,F,27,32,31,82827,24,47.93,3,0
748295,2018-03-05,2018-03-05,936,111016,45-49,F,27,31,32,9240,3,6.04,1,0
748303,2018-03-06,2018-03-06,936,111018,45-49,F,29,32,33,7706,2,2.37,1,0
748314,2018-03-07,2018-03-07,936,111020,45-49,F,31,34,32,7821,4,6.34,1,1
748341,2018-03-08,2018-03-08,936,111024,45-49,F,64,67,68,1363,0,0,1,1
776318,2018-03-09,2018-03-09,936,115484,45-49,F,15,16,19,3569,0,0,1,1
776322,2018-03-10,2018-03-10,936,115485,45-49,F,16,21,20,119063,34,53.22,1,0
776323,2018-03-11,2018-03-11,936,115485,45-49,F,16,17,18,99078,23,35.8,2,0
776325,2018-03-12,2018-03-12,936,115485,45-49,F,16,19,20,452398,114,180.22,1,0
776334,2018-03-13,2018-03-13,936,115487,45-49,F,10,12,16,191223,48,76.41,1,0
776336,2018-03-14,2018-03-14,936,115487,45-49,F,10,15,14,22216,6,9.55,1,0
776338,2018-03-15,2018-03-15,936,115487,45-49,F,10,12,11,48291,11,18.02,1,0
776353,2018-03-16,2018-03-16,936,115490,40-44,F,63,66,67,27559,8,13.37,1,0
776373,2018-03-17,2018-03-17,936,115493,45-49,F,25,27,27,10194,4,4.59,2,1
776383,2018-03-18,2018-03-18,936,115495,45-49,F,23,27,29,1168,0,0,1,1
776405,2018-03-19,2018-03-19,936,115498,45-49,F,21,25,22,40126,16,25.86,1,0
776416,2018-03-20,2018-03-20,936,115500,45-49,F,19,22,20,3659,1,0.49,1,1
776430,2018-03-21,2018-03-21,936,115503,30-34,M,10,14,16,3200,0,0,1,0
776464,2018-03-22,2018-03-22,936,115508,45-49,F,29,30,31,7550,1,1.68,1,1
776469,2018-03-23,2018-03-23,936,115509,45-49,F,28,33,29,45397,15,25.42,1,1
776473,2018-03-24,2018-03-24,936,115510,30-34,M,16,22,22,23086,2,3.31,1,1
776475,2018-03-25,2018-03-25,936,115510,30-34,M,16,21,20,16425,1,1.55,1,0
776476,2018-03-26,2018-03-26,936,115510,30-34,M,16,17,18,43756,5,5.44,0,0
776477,2018-03-27,2018-03-27,936,115510,30-34,M,16,22,17,9982,0,0,1,0
776489,2018-03-28,2018-03-28,936,115512,45-49,F,26,31,28,175389,55,81.61,1,0
776494,2018-03-29,2018-03-29,936,115513,30-34,M,15,16,16,7015,0,0,1,0
776515,2018-03-30,2018-03-30,936,115517,45-49,F,65,68,68,12706,3,4.99,1,1
776519,2018-03-31,2018-03-31,936,115517,45-49,F,65,71,67,70702,20,31.71,1,0
776533,2018-04-01,2018-04-01,936,115520,45-49,F,63,64,68,63927,16,25.52,2,0
776534,2018-04-02,2018-04-02,936,115520,45-49,F,63,69,67,15105,3,4.26,1,0
776538,2018-04-03,2018-04-03,936,115521,30-34,F,15,16,19,8774,1,1.83,1,0
776551,2018-04-04,2018-04-04,936,115523,30-34,F,16,18,22,14459,1,1.39,1,0
776552,2018-04-05,2018-04-05,936,115523,30-34,F,16,17,18,21596,2,2.81,1,0
776553,2018-04-06,2018-04-06,936,115523,30-34,F,16,21,17,66765,8,11.05,1,0
776563,2018-04-07,2018-04-07,936,115525,30-34,F,7,9,13,1369,0,0,1,1
776579,2018-04-08,2018-04-08,936,115527,30-34,F,10,13,14,26910,5,7.23,1,0
776603,2018-04-09,2018-04-09,936,115531,30-34,F,2,3,6,506,0,0,1,0
776615,2018-04-10,2018-04-10,936,115533,45-49,M,63,66,68,11988,3,4.27,1,0
776623,2018-04-11,2018-04-11,936,115535,45-49,M,64,69,65,19353,6,9.48,1,1
776631,2018-04-12,2018-04-12,936,115536,40-44,M,29,35,33,10960,2,2.89,1,0
776643,2018-04-13,2018-04-13,936,115538,30-34,M,15,18,18,33491,6,10.57,2,1
776644,2018-04-14,2018-04-14,936,115538,30-34,M,15,21,20,20083,2,3.2,2,1
776659,2018-04-15,2018-04-15,936,115541,30-34,M,16,19,22,8817,0,0,1,1
776661,2018-04-16,2018-04-16,936,115541,30-34,M,16,18,22,15466,1,0.97,1,0
776662,2018-04-17,2018-04-17,936,115541,30-34,M,16,18,22,27072,3,4.37,1,0
776663,2018-04-18,2018-04-18,936,115541,30-34,M,16,19,22,15753,1,0.57,1,1
776668,2018-04-19,2018-04-19,936,115542,40-44,M,19,21,24,3523,1,1.81,1,1
776685,2018-04-20,2018-04-20,936,115545,40-44,M,16,22,17,7745,0,0,1,0
776686,2018-04-21,2018-04-21,936,115545,40-44,M,16,17,21,18709,2,3.32,1,0
776687,2018-04-22,2018-04-22,936,115545,40-44,M,16,20,20,8022,0,0,2,1
776696,2018-04-23,2018-04-23,936,115547,30-34,M,10,11,12,7966,1,1.18,1,1
776697,2018-04-24,2018-04-24,936,115547,30-34,M,10,14,13,4132,0,0,1,1
776698,2018-04-25,2018-04-25,936,115547,30-34,M,10,14,16,12785,3,4.73,2,1
776699,2018-04-26,2018-04-26,936,115547,30-34,M,10,16,16,8213,1,1.38,1,1
776722,2018-04-27,2018-04-27,936,115551,30-34,M,2,4,7,545,0,0,1,1
776725,2018-04-28,2018-04-28,936,115552,40-44,M,23,26,27,2479,1,1.26,1,0
776780,2018-04-29,2018-04-29,936,115561,40-44,M,2,4,3,3812,2,3.05,1,0
776793,2018-04-30,2018-04-30,936,115563,45-49,M,21,23,26,1609,0,0,1,0
776799,2018-05-01,2018-05-01,936,115564,45-49,M,20,22,26,10257,3,3.58,1,1
776817,2018-05-02,2018-05-02,936,115567,40-44,M,10,14,16,12356,4,6.28,1,0
776825,2018-05-03,2018-05-03,936,115568,45-49,M,18,23,20,7410,1,1.21,1,0
776829,2018-05-04,2018-05-04,936,115569,45-49,M,16,20,19,140098,28,46.63,1,0
776831,2018-05-05,2018-05-05,936,115569,45-49,M,16,18,20,107021,20,34.44,1,0
776840,2018-05-06,2018-05-06,936,115571,35-39,M,36,38,40,2797,1,1.29,1,0
776861,2018-05-07,2018-05-07,936,115574,45-49,M,7,9,12,16461,6,9.22,1,0
776892,2018-05-08,2018-05-08,936,115580,40-44,M,63,66,69,17488,5,7.72,1,0
776928,2018-05-09,2018-05-09,936,115586,35-39,M,10,11,15,9750,2,1.5,1,1
776935,2018-05-10,2018-05-10,936,115587,45-49,M,36,41,38,1136,0,0,1,1
777105,2018-05-11,2018-05-11,936,115615,45-49,M,63,67,67,4333,1,0.18,1,1
777130,2018-05-12,2018-05-12,936,115619,35-39,M,16,21,22,6260,0,0,1,0
777131,2018-05-13,2018-05-13,936,115619,35-39,M,16,19,21,6359,0,0,1,0
777166,2018-05-14,2018-05-14,936,115625,30-34,M,63,69,65,2383,0,0,1,1
777187,2018-05-15,2018-05-15,936,115629,40-44,M,27,31,28,11292,3,5.39,1,1
777198,2018-05-16,2018-05-16,936,115631,30-34,M,64,70,69,12729,4,5.78,1,0
777200,2018-05-17,2018-05-17,936,115631,30-34,M,64,69,70,1898,0,0,1,1
777201,2018-05-18,2018-05-18,936,115631,30-34,M,64,69,65,1882,0,0,1,1
777235,2018-05-19,2018-05-19,936,115637,30-34,M,65,66,67,2883,1,0.99,1,1
777248,2018-05-20,2018-05-20,936,115639,30-34,F,7,9,10,3989,1,1.28,1,0
777261,2018-05-21,2018-05-21,936,115641,40-44,M,29,31,34,19603,4,5.28,1,1
777382,2018-05-22,2018-05-22,936,115675,40-44,M,24,26,27,3047,1,1.38,1,0
777398,2018-05-23,2018-05-23,936,115677,35-39,M,24,27,30,3029,1,1.05,1,1
777410,2018-05-24,2018-05-24,936,115679,45-49,M,26,29,28,3490,1,1.34,1,1
777482,2018-05-25,2018-05-25,936,115691,45-49,M,28,32,32,2479,0,0,1,0
777495,2018-05-26,2018-05-26,936,115693,40-44,M,19,25,25,19581,7,10.43,2,0
777519,2018-05-27,2018-05-27,936,115697,45-49,M,29,34,32,19537,5,6.1,1,0
777625,2018-05-28,2018-05-28,936,115715,45-49,M,16,17,19,59433,12,19.66,3,0
777627,2018-05-29,2018-05-29,936,115715,45-49,M,16,17,19,157534,33,56.19,2,0
777638,2018-05-30,2018-05-30,936,115717,40-44,M,7,10,12,1781,0,0,1,1
777670,2018-05-31,2018-05-31,936,115723,40-44,M,16,19,19,23769,4,6.03,1,0
777673,2018-06-01,2018-06-01,936,115723,40-44,M,16,18,17,7101,0,0,1,0
777742,2018-06-02,2018-06-02,936,115735,35-39,M,64,69,68,4726,1,1.83,1,1
777758,2018-06-03,2018-06-03,936,115737,30-34,M,19,20,20,5209,1,0.96,2,0
777794,2018-06-04,2018-06-04,936,115743,30-34,M,18,23,24,13473,3,2.62,3,0
777816,2018-06-05,2018-06-05,936,115747,40-44,M,2,7,7,500,0,0,1,1
777871,2018-06-06,2018-06-06,936,115756,30-34,M,20,26,23,4616,1,1.36,1,0
777904,2018-06-07,2018-06-07,936,115762,30-34,M,31,32,33,3279,0,0,1,0
777905,2018-06-08,2018-06-08,936,115762,30-34,M,31,36,36,3288,0,0,1,0
778037,2018-06-09,2018-06-09,936,115784,35-39,M,27,29,28,14615,4,6.05,1,0
778048,2018-06-10,2018-06-10,936,115786,30-34,M,27,28,29,56615,12,19.88,2,0
778085,2018-06-11,2018-06-11,936,115792,30-34,M,26,32,31,11735,3,4.53,1,1
778087,2018-06-12,2018-06-12,936,115792,30-34,M,26,30,32,15910,5,6.78,1,0
